Отсутствует
Арахнофобия;боязнь пауков
Клаустрофобия;боязнь закрытых пространств и помещений
Декстрофобия;боязнь вещей расположенных справа
Термофобия;,боязнь жары и натопленных помещений
Агирофобия;боязнь улиц
Венерофобия;боязнь заболеть венерической болезнью
Авиафобия;боязнь полетов
Педиофобия;боязнь предметов имитирующих человеческий облик
Базофобия;боязнь ходьбы
Теофобия;боязнь бога
Мизофобия;боязнь заразиться инфекционным заболеванием
Гамофобия;боязнь вступить в брак
Агорафобия;боязнь открытых мест и пространств
Акрофобия;боязнь высоты
Токсикофобия;боязнь отравления
Скабиофобия;боязнь заболеть чесоткой
Аэроэмфиземофобия;боязнь кессонной болезни
Гипнофобия;боязнь заснуть
Танатофобия;боязнь смерти
Пирофобия;боязнь огня и пожаров
Спермофобия;боязнь микробов
Тетрафобия;боязнь числа 4
Филофобия;боязнь влюбиться
Ранидофобия;боязнь лягушек
Некрофобия;боязнь трупов и похоронных принадлежностей
Аграфобия;боязнь сексуальных домогательств, секса
Децидофобия;боязнь принимать решения
Демонофобия (cатанофобия);боязнь Дьявола, демонов и другой нечистой силы
Дорофобия;боязнь получать или делать подарки
Зоофобия;боязнь животных
Земмифобия;боязнь кротов
Инсектофобия;боязнь насекомых
Иофобия;боязнь ядов
Виргинитифобия (Virginitiphobia);боязнь изнасилования
Текстофобия (Textophobia);боязнь тканей
Металлофобия (Metallophobia);боязнь металлических предметов
Малевзиофобия (Maleusiophobia);страх перед родами
Электрофобия (Electrophobia);боязнь электричества
Фотофобия (Photophobia);боязнь света
Метрофобия (Metrophobia);боязнь поэзии
Херофобия (Cherophobia);боязнь веселья
Погонофобия (Pogonophobia);боязнь бородатых (страх перед бородами)
Патройофобия (Patroiophobia);боязнь наследственности
Аклиофобия;боязнь глухоты
Ангинофобия;боязнь приступа стенокардии
Блаптофобия;боязнь нанести кому-либо повреждение
Бронтофобия;боязнь грома
Гелотофобия;страх оказаться объектом юмора, насмешек
Гнозиофобия (эпистемофобия);боязнь знания/познания
Гидрозофобия;боязнь вспотеть
Гидрофобия (аквафобия);боязнь воды, сырости, жидкостей
Графофобия;боязнь писать или брать в руки письменные принадлежности
Клептофобия;боязнь украсть, либо страх быть обокраденным
Акрофобия;страх высоты
Канцерофобия;боязнь заболевания раком
Ахлуофобия (никтофобия, скотофобия, эклуофобия);боязнь темноты, ночи
Аутофобия;страх одиночества
Апопатофобия;боязнь заходить в туалеты
Бромгидрофобия;боязнь, что окружающие могут заметить неприятный запах тела
Вакцинофобия;боязнь прививок и связанных с ними неврологических осложнений
Верминофобия;боязнь бактерий, микробов, червей, заразиться
Герпетофобия;боязнь рептилий, пресмыкающихся, змей
Гомофобия;боязнь любого проявления гомосексуальности
Айхмофобия;боязнь острых предметов
Робофобия;страх по отношению к любой робототехнике
Аматофобия;боязнь пыли
Фазмофобия;боязнь призраков и духов
Айлурофобия;боязнь кошек
Айхмофобия;боязнь острых предметов
Акарофобия;боязнь клещей
Акнефобия;боязнь появления угрей (акне)
Акротомофобия;боязнь ампутации
Алгофобия;боязнь боли
Аутомизофобия;боязнь загрязнить своё тело
Антофобия;боязнь цветов
Анемофобия;боязнь бури (сильного ветра)
Астрофобия;боязнь звёзд и звёздного пространства
Баллистофобия;боязнь поражения пулей, бомбой или снарядом
Винофобия;боязнь употребления вина
Вертигофобия (динофобия);боязнь головокружения
Гаптофобия;боязнь прикосновения окружающих людей
Геронтофобия;страх общения с пожилыми людьми или собственного старения
Гилофобия (ксилофобия, никтогилофобия, хилофобия);боязнь леса, заблудиться в лесу
Гиерофобия;боязнь предметов религиозного культа
Гетерофобия;боязнь противоположного пола
Дисморфофобия;боязнь физических недостатков в собственной внешности
Дентофобия (одонтофобия);боязнь стоматологов, лечения зубов
Канцерофобия;боязнь заболеть раком, злокачественной опухолью
Кенофобия;боязнь больших незаполненных пространств (например, пустого зала театра)
Копрофобия;боязнь фекалий
Коулрофобия;боязнь клоунов
Кремнофобия;боязнь смотреть в бездну, пропасть
Кристаллофобия;боязнь прикосновения к стеклянным предметам
Лифтофобия;боязнь лифтов
Лалофобия;боязнь говорить из-за опасения возможного заикания
Маниофобия;боязнь психически заболеть
Менофобия;боязнь менструаций и связанных с ними неприятных ощущений
Мирмекофобия;боязнь муравьёв
Морфинофобия;боязнь стать морфинистом
Неофобия;боязнь нового, перемен
Нозокомефобия;боязнь больниц
Осмофобия;боязнь телесных запахов
Орнитофобия;боязнь птиц
Панофобия;боязнь всего или постоянный страх по неизвестной причине
Параскаведекатриафобия;боязнь пятницы, 13-го дня месяца
Педофобия;навязчивый страх детей или имитирующих их изделий
Радиофобия;боязнь радиации
Тениофобия;боязнь заразиться глистами
Трипанофобия;боязнь игл и уколов
Топофобия;боязнь остаться одному в помещении
Хроматофобия;боязнь какого-либо цвета и окрашенных в него предметов
Эквинофобия;боязнь лошадей
Эротофобия;боязнь секса или вопросов о сексе
