 Перфекционист;Человек, стремящийся к совершенству
 Недовольный;Человек, проявляющий или испытывающий неудовольствие, неудовлетворенность
 Деликатный;Вежливый, предупредительный, мягкий в обращении
 Расчётливый;Осмотрительно и осторожно расходующий, тратящий что-л. человек
 Эгосцентричный;Человек, сосредоточенный на своей индивидуальности, считающийся только со своими интересами
 Филантроп;Человек, занимающийся любой деятельностью на пользу общества в целом
 Удачливый;Человек, которому во всем сопутствует удача
 Тупой;Глупый, плохо соображающий человек
 Рассеянный;Невнимательный, постоянно переключающий свое внимание с одного предмета на другой или сосредоточенный на одной какой-л. мысли и потому плохо реагирующий на окружающее
 Бездуховный;Человек, отличающийся бедностью духовного мира, низким уровнем нравственных, интеллектуальных потребностей, норм
 Бескорыстный;Человека творящий доброе без выгоды для себя
 Добродушный;Добрый и мягкий человек, относящийся душевно, приветливо к людям
 Жестокий;Бессердечный, черствый человека, лишенный душевной доброты
 Сдержанный;Человек, который может сохранять спокойствие и контролировать свое поведение и слова, не смотря на то, что думает или чувствует на самом деле
 Грамотный;Человек, который говорит и пишет правильно красиво и без ошибок
 Асоциальный;Человек, удовлетворяющий свои инстинктивные потребности
 Честный; Всегда правдивый и смелый человек
 Безапелляционный;Человек, уверенный в своей правоте и не сомневающийся в своих суждениях
 Ласковый;Человек, умеющий проявлять заботу и нежность к окружающим, быть отзывчивым и внимательным
 Храбрый;Человек, который не страшится брать на себя ответственность за собственные поступки
 Умный;Человек, поступающий, в большей степени, опираясь на ум
 Нервный;Человек, который на обычные вещи реагирует с повышенной неадекватностью, одинаково возбужденно
 Слабовольный;Человек, отличающийся слабоволием, недостаточной силой воли
 Авторитетный;Человек, которого другие уважают, доверяют и обращаются за советом или руководством
 Бдительный;Крайне внимательный и настороженный человек
 Беспощадный;Человек, у которого отсутствует сочувствие и сострадание, он не способен проявить сострадание к тем, кто находится в беде или нуждается в помощи
 Мстительный;Человек, который стремится совершить наказание своих врагов и пренебрегает при этом сложившимися ограничениями общества и временными рамками
 Робкий;Несмелый, боязливо-опасливый, неуверенный
 Любезный;Предупредительный по отношению к другим, учтивый
 Невозмутимый;Полный самообладания, спокойный
 Вдумчивый;Человек, кто способен остановиться, обдумать и проанализировать ситуацию перед принятием какого-либо решения
 Самоуверенный;Излишне уверенный в себе, в собственных силах, возможностях
 Миролюбивый;Не склонный к вражде и ссорам; любящий мир, согласие
 Начитанный;Человек, который обладает большим запасом знаний, полученных из прочитанных книг, журналов, статей и других текстовых источников информации
 Самоотверженный;Человек, который готов отдать себя ради других и служить обществу
